Region,Country,First Closed Won Opp Date,Account ID,CSM Status Stage,Activation Date,Highest Product,Last Product usage date,# delivery partners
Region C,Country 16,12/13/2021,0016R0000377MZx,Active,15-Dec-2021,,1/11/2022 2:45 AM,1
Region C,Country 16,12/22/2021,0016R0000377n0Z,Active,22-Dec-2021,,,1
Region B,Country 2,12/14/2021,0016R0000377N12,Active,15-Dec-2021,,1/4/2022 5:24 AM,4
Region A,Country 6,12/22/2021,0016R0000377n1I,Active,27-Dec-2021,,1/15/2022 2:31 AM,4
Region B,Country 2,12/22/2021,0016R0000377n3j,Onboarding,,,,1
Region B,Country 2,12/22/2021,0016R0000377n3k,Onboarding,,,,1
Region B,Country 2,12/22/2021,0016R0000377n3l,Onboarding,,,,1
Region B,Country 2,12/22/2021,0016R0000377n3m,Onboarding,,,,1
Region B,Country 2,12/22/2021,0016R0000377n3n,Onboarding,,,,1
Region B,Country 2,12/22/2021,0016R0000377n3o,Onboarding,,,,1
Region B,Country 2,12/22/2021,0016R0000377n3p,Onboarding,,,,1
Region B,Country 2,12/22/2021,0016R0000377n3q,Onboarding,,,,1
Region B,Country 2,12/22/2021,0016R0000377n3r,Onboarding,,,,1
Region B,Country 2,12/22/2021,0016R0000377n3s,Onboarding,,,,1
Region B,Country 2,12/22/2021,0016R0000377n3t,Onboarding,,,,1
Region C,Country 16,1/14/2022,0016R0000377n3Z,Onboarding,,,,2
Region C,Country 16,12/13/2021,0016R0000377N5O,Active,14-Dec-2021,,12/14/2021 9:43 AM,1
Region B,Country 2,12/14/2021,0016R0000377N6M,Active,15-Dec-2021,,12/14/2021 11:26 PM,4
Region D,Country 15,12/22/2021,0016R0000377n6n,Onboarding,,,,2
Region D,Country 15,12/22/2021,0016R0000377n6s,Onboarding,,,1/14/2022 4:10 AM,2
Region C,Country 16,12/13/2021,0016R0000377N6v,Active,17-Dec-2021,,1/12/2022 4:50 AM,1
Region C,Country 16,12/13/2021,0016R0000377N7Z,Churned,16-Dec-2021,,12/16/2021 6:05 AM,0
Region C,Country 16,12/13/2021,0016R0000377N8S,Active,14-Dec-2021,,1/10/2022 7:12 AM,4
Region B,Country 9,12/16/2021,0016R0000377N9B,Active,26-Feb-2021,,12/28/2021 6:21 AM,0
Region C,Country 16,12/22/2021,0016R0000377n9m,Onboarding,,,1/5/2022 11:55 PM,1
Region B,Country 9,1/11/2022,0016R0000377nBs,Active,12-Jan-2022,,,1
Region C,Country 16,12/22/2021,0016R0000377ncY,Active Opportunity,,,1/15/2022 3:02 AM,1
Region B,Country 9,12/22/2021,0016R0000377nDA,Active,18-Nov-2020,,1/14/2022 11:12 PM,0
Region B,Country 9,12/22/2021,0016R0000377nDj,Active,,,1/14/2022 11:12 PM,1
Region B,Country 9,12/22/2021,0016R0000377nDk,Active,,,1/14/2022 11:12 PM,1
Region C,Country 16,12/23/2021,0016R0000377ndq,Active,4-Jan-2022,,1/13/2022 5:00 AM,2
Region D,Country 11,1/10/2022,0016R0000377NDy,Onboarding,,,,1
Region C,Country 16,12/13/2021,0016R0000377NEI,Active,14-Dec-2021,,12/14/2021 3:37 AM,0
